data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 31/01/2025;445; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 173.385,70;R$ 173.385,70;R$ 173.385,70
 31/01/2025;444; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 6.671,00;R$ 6.671,00;R$ 6.671,00
 31/01/2025;442; GABINETE DO PREFEITO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 14.471,98;R$ 14.471,98;R$ 14.471,98
 31/01/2025;447; GABINETE DO PREFEITO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 100.997,66;R$ 100.997,66;R$ 100.997,66
 31/01/2025;449; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 71.412,20;R$ 71.412,20;R$ 71.412,20
 31/01/2025;468; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 3.953,17;R$ 3.953,17;R$ 3.953,17
 31/01/2025;458; SECRETARIA DE MEIO AMBIENTE E DESENV. ECONÔMICO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 26.362,96;R$ 26.362,96;R$ 26.362,96
 31/01/2025;467; SECRETARIA DE EDUCAÇÃO; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 1.416,19;R$ 1.416,19;R$ 1.416,19
 31/01/2025;457; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 29.362,61;R$ 29.362,61;R$ 29.362,61
 31/01/2025;446; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 220.861,91;R$ 220.861,91;R$ 220.861,91
 31/01/2025;466; GABINETE DO PREFEITO; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 6.094,49;R$ 6.094,49;R$ 6.094,49
 31/01/2025;448; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 2.964,88;R$ 2.964,88;R$ 2.964,88
 31/01/2025;461; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 33.474,62;R$ 33.474,62;R$ 33.474,62
 31/01/2025;453; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 168.485,13;R$ 168.485,13;R$ 168.485,13
 31/01/2025;456; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 7.496,01;R$ 7.496,01;R$ 7.496,01
 31/01/2025;463; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 5.668,83;R$ 5.668,83;R$ 5.668,83
